eval_id,case_type,question,expected_answer,expected_doc_id,expected_chunk_id,expected_url,expected_risk_category
p1eval:5e2009a07dd02cefe31e,factual,원주시 공식 문서 '현황 및 연혁 - 보건소 안내 -보건소'의 '현황 및 연혁 - 보건소 안내 -보건소'에서 현황 연혁 보건소 COMMUNITY HEALTH에 관해 안내하는 핵심 내용은 무엇인가요?,"현황 및 연혁 - 보건소 안내 -보건소 | 현황 및 연혁 - 보건소 안내 -보건소 | COMMUNITY HEALTH CENTER 현재 2000's 2021. 12. 서원주건강생활지원센터 신축 2020. 01.01 조직개편 (5과, 22부서) : 과신설 → 치매안심과 2018. 03. 남원주건강생활지원센터 신축 2012. 04.23 조직개편 (4과, 16부서) : 과신설 → 의료지원과 2011. 12.26 흥업면보건지소 신축 2010. 06.04 지정면보건소 신축 11.23 호저면보건지소 신축 2009. 05.22 부론보건지소 신축 2006. 02.13 부서명칭변경 : 질병관리 → 방역관리, 생활보건 → 지역보건 (건강증진과의 주무담당 부서 → 건강관리담당으로) 2005. 01.20 부서신설 → 식품지도, 건",p1doc:00c5f1b92052afcec0bc,p1chunk:3240ce7208ec399a3a45,https://www.wonju.go.kr/health/contents.do?key=1621,none
p1eval:a5b8bb1164cbbc94c1e9,factual,원주시 공식 문서 '현황 및 연혁 - 보건소 안내 -보건소'의 '현황 및 연혁 - 보건소 안내 -보건소'에서 04 23 조직개편 4과 16부서에 관해 안내하는 핵심 내용은 무엇인가요?,"04.23 조직개편 (4과, 16부서) : 과신설 → 의료지원과 2011. 12.26 흥업면보건지소 신축 2010. 06.04 지정면보건소 신축 11.23 호저면보건지소 신축 2009. 05.22 부론보건지소 신축 현황 및 연혁 - 보건소 안내 -보건소 | 현황 및 연혁 - 보건소 안내 -보건소 | 2006. 02.13 부서명칭변경 : 질병관리 → 방역관리, 생활보건 → 지역보건 (건강증진과의 주무담당 부서 → 건강관리담당으로) 2005. 01.20 부서신설 → 식품지도, 건강관리, 부서명칭변경 : 보건 → 생활보건 09.08 보건진료소 신축 (단강) 12.01 보건진료소 신축 (학곡) 2004. 09.10 보건지소 신축 (귀래) 12. 보건진료소 신축 (비두, 사제) 2003. 02.28 식품, 공중위생부",p1doc:00c5f1b92052afcec0bc,p1chunk:7fdc279b49d78113c6d0,https://www.wonju.go.kr/health/contents.do?key=1621,none
p1eval:d871ba4c1b5b1b5fde33,factual,원주시 공식 문서 '현황 및 연혁 - 보건소 안내 -보건소'의 '현황 및 연혁 - 보건소 안내 -보건소'에서 보건소 이관 1997 07 보건진료소에 관해 안내하는 핵심 내용은 무엇인가요?,"보건소 이관 1997. 07. 보건진료소 설치 (판대) 12. 보건소 청사 개축 (준공) 1995. 01. 시군 통합(2개과 신설), 국민건강증진법 제정 12. 보건소법 전면 개정 (보건소 16업무, 위생업무포함) 현황 및 연혁 - 보건소 안내 -보건소 | 현황 및 연혁 - 보건소 안내 -보건소 | 1989's 1980's 1984. 12. 보건소 신축 이전 (건평 1,959평, 지상2층, 지하1층) 1983. 10. 보건진료소 설치 (비두, 사제) 1982. 12. 보건진료소 설치 (학곡, 산현) 1981. 10. 보건진료소 설치 (고산, 단강) 12. 보건진료소 설치 (황둔) 1980. 10. 농어촌보건의료를 위한 특별조치법 제정 (공중보건의사 및 보건진료원 배치) 1989's 1980's 1984. 1",p1doc:00c5f1b92052afcec0bc,p1chunk:4b39ea0371c9bc9dbc9c,https://www.wonju.go.kr/health/contents.do?key=1621,none
p1eval:0183567b01825db8f1c1,factual,원주시 공식 문서 '현황 및 연혁 - 보건소 안내 -보건소'의 '현황 및 연혁 - 보건소 안내 -보건소'에서 원주시보건소개소 1979 1950 1976 04에 관해 안내하는 핵심 내용은 무엇인가요?,"원주시보건소개소 1979's 1950's 1976. 04. 보건소직제 개편 (위생업무 사회과로 이관) 1964. 10. 보건지소 설치 (소초 외 6개소) 1962. 09. 보건소법 제정 (시장 산하에 보건소 설치) 현황 및 연혁 - 보건소 안내 -보건소 | 현황 및 연혁 - 보건소 안내 -보건소 | 1961. 07. 보건소법 제정 (보건소 13업무 규정) 1956. 12. 보건소법 제정 (도지사 감독) 1955. 09. 사회과 보건계, 원주시보건소개소",p1doc:00c5f1b92052afcec0bc,p1chunk:f57ce632ab1f7e4cbe92,https://www.wonju.go.kr/health/contents.do?key=1621,none
p1eval:3aa91a78f93b84aa84fc,factual,원주시 공식 문서 '노인장기요양보험 - 노인복지사업 - 노인 -복지포털'의 '법적근거'에서 노인장기요양보험 노인복지사업 노인 복지포털 법적근거에 관해 안내하는 핵심 내용은 무엇인가요?,"노인장기요양보험 - 노인복지사업 - 노인 -복지포털 | 법적근거 | 노인장기요양보험법 제13조(장기요양인정의신청), 제23조(장기요양급여의 종류)",p1doc:091bffece2dfdda2dfee,p1chunk:b2258a62e6c1d378dfba,https://www.wonju.go.kr/welfare/contents.do?key=2222,none
p1eval:c89a6dc18261201174c9,factual,원주시 공식 문서 '노인장기요양보험 - 노인복지사업 - 노인 -복지포털'의 '제도개요'에서 노인장기요양보험 노인복지사업 노인 복지포털 법적근거에 관해 안내하는 핵심 내용은 무엇인가요?,"노인장기요양보험 - 노인복지사업 - 노인 -복지포털 | 법적근거 | 노인장기요양보험법 제13조(장기요양인정의신청), 제23조(장기요양급여의 종류) 고령이나 노인성 질병 등으로 인하여 일상생활을 혼자 수행하기 어려운 노인 등에게 신체활동 또는 가사지원 등의 서비스를 제공하여 노후생활의 안정과 그 가족의 부담을 덜어주어 국민의 삶의 질을 높여주는 사회보험제도 (2008년 7월 시행)",p1doc:091bffece2dfdda2dfee,p1chunk:9c7c4a06096174a6a433,https://www.wonju.go.kr/welfare/contents.do?key=2222,none
p1eval:67ce8d882471d8b8d086,factual,원주시 공식 문서 '노인장기요양보험 - 노인복지사업 - 노인 -복지포털'의 '적용대상'에서 등으로 인하여 일상생활을 혼자 수행하기에 관해 안내하는 핵심 내용은 무엇인가요?,등으로 인하여 일상생활을 혼자 수행하기 어려운 노인 등에게 신체활동 또는 가사지원 등의 서비스를 제공하여 노후생활의 안정과 그 가족의 부담을 덜어주어 국민의 삶의 질을 높여주는 사회보험제도 (2008년 7월 시행) 65세 이상 노인 또는 65세 미만의 자로서 치매․뇌혈관성질환 등 노인성 질병을 가진 자,p1doc:091bffece2dfdda2dfee,p1chunk:bd78d9bac2e70073042f,https://www.wonju.go.kr/welfare/contents.do?key=2222,none
p1eval:5b5317a62975900a24cc,factual,원주시 공식 문서 '노인장기요양보험 - 노인복지사업 - 노인 -복지포털'의 '이용절차'에서 서비스를 제공하여 노후생활의 안정과 가족의에 관해 안내하는 핵심 내용은 무엇인가요?,서비스를 제공하여 노후생활의 안정과 그 가족의 부담을 덜어주어 국민의 삶의 질을 높여주는 사회보험제도 (2008년 7월 시행) 65세 이상 노인 또는 65세 미만의 자로서 치매․뇌혈관성질환 등 노인성 질병을 가진 자 신청인 장기요양 인정신청 건강보험공단 방문조사 건강보험공단 장기요양 등급판정(1~5등급) 결과 통지 신청인 희망급여 이용,p1doc:091bffece2dfdda2dfee,p1chunk:bfd87be0ff77abfccd78,https://www.wonju.go.kr/welfare/contents.do?key=2222,none
p1eval:9fa8b88c89d3c6fe514b,factual,원주시 공식 문서 '노인장기요양보험 - 노인복지사업 - 노인 -복지포털'의 '급여종류'에서 65세 이상 노인 또는 미만의에 관해 안내하는 핵심 내용은 무엇인가요?,"행) 65세 이상 노인 또는 65세 미만의 자로서 치매․뇌혈관성질환 등 노인성 질병을 가진 자 신청인 장기요양 인정신청 건강보험공단 방문조사 건강보험공단 장기요양 등급판정(1~5등급) 결과 통지 신청인 희망급여 이용 시설급여 : 노인요양시설, 노인요양공동생활가정 재가급여 : 방문요양, 방문목욕, 방문간호, 주야간보호, 단기보호, 복지용구 특별 현금급여 : 가족요양비",p1doc:091bffece2dfdda2dfee,p1chunk:b292511bbca8a089723f,https://www.wonju.go.kr/welfare/contents.do?key=2222,none
p1eval:3ebc3136a70a9d5570bb,factual,원주시 공식 문서 '노인장기요양보험 - 노인복지사업 - 노인 -복지포털'의 '재정부담'에서 장기요양 등급판정 5등급 결과 통지에 관해 안내하는 핵심 내용은 무엇인가요?,"장기요양 등급판정(1~5등급) 결과 통지 신청인 희망급여 이용 시설급여 : 노인요양시설, 노인요양공동생활가정 재가급여 : 방문요양, 방문목욕, 방문간호, 주야간보호, 단기보호, 복지용구 특별 현금급여 : 가족요양비 장기요양 보험료 본인부담 국가 지방부담 (기초 및 의료급여수급권자)",p1doc:091bffece2dfdda2dfee,p1chunk:4dc6fcf36f1770783359,https://www.wonju.go.kr/welfare/contents.do?key=2222,none
