scenario_id,title,source_kind,reference_id,question_or_flow,evidence,retrieval_rank,groundedness_score,citation_accuracy,passed
senior-01,노인장기요양보험 급여종류 안내,evaluation_case,p1eval:9fa8b88c89d3c6fe514b,원주시 공식 문서 '노인장기요양보험 - 노인복지사업 - 노인 -복지포털'의 '급여종류'에서 65세 이상 노인 또는 미만의에 관해 안내하는 핵심 내용은 무엇인가요?,https://www.wonju.go.kr/welfare/contents.do?key=2222,1,0.6153846153846154,1.0,true
senior-02,치매 자가진단 평가방법 안내,evaluation_case,p1eval:dd1c063c6454fdeb7bb8,원주시 공식 문서 '치매진단 - 건강자기진단 - 건강정보 -보건소'의 '평가방법'에서 치매진단 건강자기진단 건강정보 보건소 치매에 관해 안내하는 핵심 내용은 무엇인가요?,https://www.wonju.go.kr/health/contents.do?key=1699,2,0.6551724137931034,1.0,true
senior-03,심정지 상황의 심폐소생술 안내,evaluation_case,p1eval:9e23628d9d1224787e31,원주시 공식 문서 '심폐소생술 - 응급상식 - 건강정보 -보건소'의 '4. 인공 호흡'에서 약4 5cm깊이로 압박 압박과 이완의에 관해 안내하는 핵심 내용은 무엇인가요?,https://www.wonju.go.kr/health/contents.do?key=1687,1,0.6842105263157895,1.0,true
senior-04,음식물 기도폐쇄 응급대처 안내,evaluation_case,p1eval:3eb29f823e3c50515737,원주시 공식 문서 '기도폐쇄 - 응급상식 - 건강정보 -보건소'의 '1. 환자가 목을 손으로 감싸고 숨을 못 쉬고 힘들어 할 때'에서 자의 상태에 맞춰 행동한다 이물질이에 관해 안내하는 핵심 내용은 무엇인가요?,https://www.wonju.go.kr/health/contents.do?key=1689,1,0.6666666666666666,1.0,true
senior-05,약물 오남용 예방과 복용 주의 안내,evaluation_case,p1eval:6d9704ae33796cd12c13,원주시 공식 문서 '약물 오남·용 - 약 바로알기 - 건강정보 -보건소'의 '남용'에서 의약품을 포함하여 인간의 신체 정신에 관해 안내하는 핵심 내용은 무엇인가요?,https://www.wonju.go.kr/health/contents.do?key=1670,1,0.75,1.0,true
senior-06,걷기 등 지역 신체활동 사업 안내,evaluation_case,p1eval:95df9a6c1d3968b02635,원주시 공식 문서 '신체활동사업 - 건강증진 - 보건 -보건소'의 '2026년 걷기 지도자(2급) 과정 상반기·하반기 운영'에서 신체활동사업 건강증진 보건 보건소 2026년에 관해 안내하는 핵심 내용은 무엇인가요?,https://www.wonju.go.kr/health/contents.do?key=1706,1,0.8085106382978723,1.0,true
senior-07,장애인 복지·일자리 지원 안내,evaluation_case,p1eval:8f5d1d4b3105faa6ea8a,원주시 공식 문서 '기타 - 장애인 복지시책 - 장애인 -복지포털'의 '장애인일반형일자리사업 : 전일제/시간제'에서 등록된 18세 이상 미취업 장애인에 관해 안내하는 핵심 내용은 무엇인가요?,https://www.wonju.go.kr/welfare/contents.do?key=2257,1,0.7058823529411765,1.0,true
senior-08,기초생활 자산형성·자활 지원 안내,evaluation_case,p1eval:646c1d09b2f23ef6e182,원주시 공식 문서 '자활사업 - 기초생활 -복지포털'의 '지원자격'에서 축계좌 차상위이하 청년내일저축계좌 차상위초과 안내합니다에 관해 안내하는 핵심 내용은 무엇인가요?,https://www.wonju.go.kr/welfare/contents.do?key=2215,1,0.7954545454545454,1.0,true
senior-09,마약류·중독 위험과 상담 필요성 안내,evaluation_case,p1eval:ec8b396a1cf47b172437,원주시 공식 문서 '마약류 소개 - 약 바로알기 - 건강정보 -보건소'의 '세계보건기구에 따르면 마약류는'에서 않고는 정상적인 생활을 없게 되며에 관해 안내하는 핵심 내용은 무엇인가요?,https://www.wonju.go.kr/health/contents.do?key=1672,2,0.6578947368421053,1.0,true
senior-10,고령자 두통 확인질문과 가까운 의료기관 안내,live_persona,노인 사용자,고령자 다중 턴 증상 확인 및 의료기관 연결,data/p1_rag/reports/persona_usability_report.json,,,,true
